abn,webid,success,attempts,status_code,note
52607329456,280d58ce7bb46f6a5c8589688029facc,1,20,200,All good
96127343579,c8f98bd9b9d0fa88c3070611db601aa9,1,20,200,All good
98164028488,3a05fbe14a39678be4fbef45ba0247e4,1,20,200,All good
42022879359,cc8cdaca60c405d65deb3b278151bfa4,1,20,200,All good
35925590719,3937e09aad546fde87882594a1163c4f,1,20,200,All good
91893631195,3a867e059b7c8f4b38faf0640cf61283,1,20,200,All good
30352549862,f4e8a03638af643ee76ab3726212fec4,1,20,200,All good
36590518137,162398137a464a87ae68ac19ecc4838b,1,20,200,All good
74002899578,3f84dfce44c5d804219c01d823e39d1d,1,20,200,All good
49758636720,bcac6d45f5469414060b828127fdee86,1,20,200,All good
13477856743,579c245e8b38f9da85780e4980aa6409,1,20,200,All good
43301355825,1c08b3b78a1315933f1a0684101262ba,1,20,200,All good
62475473063,9519705817d729364c8ca769eb862c5c,1,20,200,All good
63006186812,585369ea5902ecd952e0f934b3065714,1,20,200,All good
12645422033,7ed0b7dce35ff870c87ec02001a307cd,1,20,200,All good
65923400760,53f55ea595f2cf2a8675bfb456ed552d,1,20,200,All good
68905599559,336bf8f8f01f6601b9189b045388dd44,1,20,200,All good
41603012906,b72741b3f82ee56e8c659454ae76a9de,1,20,200,All good
58810140793,f95aa1ee9d2b170902eaf77b8c719ea3,1,20,200,All good
64085000120,1bac7c74856534b7c6148cf778491f07,1,20,200,All good
54188167193,38b88203134c009d1f939b07da6709f6,1,20,200,All good
69825774318,d1e31f250880a7470b4cc7be039c2a6a,1,20,200,All good
93255605803,43adf8c05121798db38e826e95bbae38,1,20,200,All good
18891750884,1f6100528cbb8f1001b2b82e1f0c2952,1,20,200,All good
20493013106,fd05a764160e6cc9e0b005d5df7725d6,1,20,200,All good
37249122484,7070d19beaacbf2b275018edc4e65cc7,1,20,200,All good
79832914907,207ecc59326abaad52ad5818dc8ad995,1,20,200,All good
13372781950,622490dd7c5736e01d9399cf9bd4c21d,1,20,200,All good
33556882820,33f463a67694f484e044181c023ce5bd,1,20,200,All good
68356695980,c6c2f18c7d3b6266be897f08279bbb6e,1,20,200,All good
65864683179,f5f31afda942a3e0bdff15be5718cf3f,1,20,200,All good
28618866292,4f0d29a922efe355596f1c824d9b3bf5,1,20,200,All good
52602941319,857871c496ac1f68a82c8a398767894b,1,20,200,All good
36179252463,69e4ff617deb7e2ac32fb4372b678486,1,20,200,All good
17001558201,cb076b0f6f880a1caf8e4e42852bc601,1,20,200,All good
77387596586,486beb4eb41920ec7624fd9661763099,1,20,200,All good
84868235450,6ba7748fe06adbedb64cee5c1fe67586,1,20,200,All good
33295568110,79d79b7c8c6caeb75fea2af0ae84baad,1,20,200,All good
78750731039,6758b2724759ae61b3b0cbb45bacc4f6,1,20,200,All good
51726998387,037f4b9f534bb962bf2231eb48a7f26d,1,20,200,All good
89114213853,57b26f7c91483886b14aa0898b7be4ba,1,20,200,All good
25102071531,331d8f28fa0ace1ce2ec0db214faf3e4,1,20,200,All good
87235095058,2f3e44ed0e4833eb1dcfd1c97f9e07bf,1,20,200,All good
48018405843,be68c99af9327f68aeb107c2e8aa4664,1,20,200,All good
72252028020,80b884e18ca711e3dd925f03628b9098,1,20,200,All good
49318935234,ac800ab710315bbd5c58bdbc247dced7,1,20,200,All good
56273504293,6ee74ac963c21717c44dd079894521f1,1,20,200,All good
11370084009,013054d3baff6d6a9de0498439d545ee,1,20,200,All good
66615417245,d9d069cb8c4b23be6c98d9749c8714f0,1,20,200,All good
30699727327,455a3884d45ce37308c17872c47b22d5,1,20,200,All good
14628727542,783acac3dabf3c63d8fba67cf1872380,1,20,200,All good
35374982252,4db204221a94a5ac34a6c7fdb119d538,1,20,200,All good
89730493681,08bbed06d74d78f1755d62ef467b80a3,1,20,200,All good
82301033868,60677e5cfae9546269e8e79e7fbd104f,1,20,200,All good
72517343363,e4ae8afa312529823419485a758febe1,1,20,200,All good
73213668724,129c15486ef4709005eaff74454e2f6b,1,20,200,All good
