Number,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious_Critical,Total Cases Per 1m Pop,Deaths Per 1m Pop,Total Tests,Tests Per 1m Pop,Population
45,Bulgaria,"414,192",,"17,259",,"362,475",,"34,458",499,"60,005","2,500","2,668,212","386,549","6,902,641",Europe,17,400,3,,,"4,992"
46,Ecuador,"410,129",,"19,699",,"354,499",,"35,931",587,"22,943","1,102","1,368,816","76,572","17,876,097",South America,44,907,13,,,"2,010"
47,Slovakia,"387,659",+136,"12,238",+14,"371,004",+109,"4,417",192,"70,974","2,241","2,765,568","506,333","5,461,953",Europe,14,446,2,25,3,809
48,Belarus,"377,532","+1,191","2,711",+10,"367,840",+743,"6,981",,"39,965",287,"6,105,215","646,287","9,446,606",Europe,25,"3,485",2,126,1,739
49,Greece,"377,090",,"11,415",,"338,571",,"27,104",656,"36,334","1,100","8,856,180","853,320","10,378,501",Europe,28,909,1,,,"2,612"
50,Panama,"370,877",,"6,296",,"359,214",,"5,367",105,"84,794","1,439","2,524,764","577,242","4,373,839",North America,12,695,2,,,"1,227"
51,Kazakhstan,"360,193","+2,089","4,073",+19,"317,741","+1,738","38,379",221,"18,985",215,"10,749,824","566,607","18,972,287",Asia,53,"4,658",2,110,1,"2,023"
52,Croatia,"350,506",+116,"7,738",+30,"337,475","+1,025","5,293",173,"85,843","1,895","1,929,591","472,579","4,083,105",Europe,12,528,2,28,7,"1,296"
53,Bolivia,"332,567","+1,051","13,517",+24,"271,690","+1,224","47,360",200,"28,156","1,144","1,309,771","110,889","11,811,601",South America,36,874,9,89,2,"4,010"
54,Georgia,"330,879",+504,"4,469",+27,"310,859","+2,038","15,551",,"83,084","1,122","4,591,316","1,152,881","3,982,471",Asia,12,891,1,127,7,"3,905"
55,Azerbaijan,"329,843",,"4,779",,"314,900",,"10,164",,"32,278",468,"3,384,053","331,158","10,218,835",Asia,31,"2,138",3,,,995
56,Tunisia,"326,572",,"11,849",,"287,644",,"27,079",445,"27,382",994,"1,387,361","116,327","11,926,362",Africa,37,"1,007",9,,,"2,271"
57,Paraguay,"313,527",,"7,596",,"260,339",,"45,592",582,"43,492","1,054","1,194,232","165,663","7,208,824",South America,23,949,6,,,"6,324"
58,Palestine,"303,827",,"3,428",,"292,523",,"7,876",78,"58,380",659,"1,790,483","344,041","5,204,277",Asia,17,"1,518",3,,,"1,513"
59,Kuwait,"291,629",,"1,693",,"277,820",,"12,116",186,"67,421",391,"2,460,103","568,742","4,325,517",Asia,15,"2,555",2,,,"2,801"
60,Costa Rica,"282,741",,"3,547",,"221,903",,"57,291",489,"55,065",691,"1,093,074","212,881","5,134,663",North America,18,"1,448",5,,,"11,158"
61,Dominican Republic,"277,188",,"3,582",,"233,830",,"39,776",289,"25,331",327,"1,478,358","135,100","10,942,699",North America,39,"3,055",7,,,"3,635"
62,Denmark,"267,339",+836,"2,503",+1,"251,665",+714,"13,171",29,"46,014",431,"47,223,277","8,127,915","5,810,011",Europe,22,"2,321",0,144,0.2,"2,267"
63,Ethiopia,"266,264",,"3,996",,"219,566",,"42,702",582,"2,267",34,"2,652,558","22,588","117,432,264",Africa,441,"29,387",44,,,364
64,Lithuania,"266,063",+504,"4,112",+7,"240,079",+164,"21,872",178,"98,946","1,529","3,111,213","1,157,026","2,688,974",Europe,10,654,1,187,3,"8,134"
65,Ireland,"255,672",,"4,941",,"237,878",,"12,853",39,"51,280",991,"4,729,538","948,596","4,985,829",Europe,20,"1,009",1,,,"2,578"
66,Moldova,"253,845",,"6,027",,"244,857",,"2,961",149,"63,055","1,497","1,048,032","260,331","4,025,764",Europe,16,668,4,,,736
67,Slovenia,"249,424",+113,"4,327",+3,"237,630",+206,"7,467",122,"119,962","2,081","1,232,247","592,658","2,079,188",Europe,8,481,2,54,1,"3,591"
68,Egypt,"245,721",,"14,327",,"181,478",,"49,916",90,"2,362",138,"2,715,258","26,105","104,011,195",Africa,423,"7,260",38,,,480
69,Guatemala,"241,369",,"7,887",,"221,298",,"12,184",5,"13,259",433,"1,345,112","73,893","18,203,514",North America,75,"2,308",14,,,669
70,Uruguay,"240,512",,"3,459",,"209,338",,"27,715",499,"69,029",993,"2,005,217","575,510","3,484,241",South America,14,"1,007",2,,,"7,954"
71,Honduras,"226,719",+755,"5,960",+6,"82,602",+41,"138,157",536,"22,578",594,"679,008","67,619","10,041,602",North America,44,"1,685",15,75,0.6,"13,758"
