Number,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious_Critical,Total Cases Per 1m Pop,Deaths Per 1m Pop,Total Tests,Tests Per 1m Pop,Population
122,Angola,"51,827",,"1,371",,"45,918","4,538",8,"1,520",40,"924,815","27,124","34,095,725",Africa,658,"24,869",37,,,133
123,Fiji,"49,587",,544,,"35,686","13,357",39,"54,835",602,"395,504","437,364","904,290",Australia/Oceania,18,"1,662",2,,,"14,771"
124,Trinidad and Tobago,"47,925",,"1,397",,"42,596","3,932",22,"34,111",994,"332,771","236,854","1,404,964",North America,29,"1,006",4,,,"2,799"
125,Eswatini,"45,274",,"1,194",,"42,908","1,172",10,"38,542","1,016","334,494","284,757","1,174,664",Africa,26,984,4,,,998
126,Madagascar,"42,898",,958,,"41,322",618,3,"1,503",34,"249,510","8,740","28,547,963",Africa,665,"29,800",114,,,22
127,French Polynesia,"40,178",,585,,"33,500","6,093",50,"142,037","2,068","26,355","93,170","282,869",Australia/Oceania,7,484,11,,,"21,540"
128,Martinique,"39,745",,555,,104,"39,086",1,"106,011","1,480","348,342","929,128","374,913",North America,9,676,1,,,"104,254"
129,French Guiana,"38,021",,232,,"9,995","27,794",27,"123,444",753,"381,027","1,237,097","308,001",South America,8,"1,328",1,,,"90,240"
130,Sudan,"38,000",,"2,875",,"31,916","3,209",,843,64,"238,579","5,292","45,082,248",Africa,"1,186","15,681",189,,,71
131,Malta,"36,900",,452,,"35,356","1,092",5,"83,302","1,020","1,211,456","2,734,886","442,964",Europe,12,980,0,,,"2,465"
132,Cabo Verde,"36,891",,327,,"35,655",909,23,"65,494",581,"209,041","371,116","563,276",Africa,15,"1,723",3,,,"1,614"
133,Suriname,"35,817",,788,,"26,334","8,695",22,"60,402","1,329","118,173","199,287","592,978",South America,17,753,5,,,"14,663"
134,Mauritania,"35,212",,761,,"33,394","1,057",22,"7,341",159,"462,517","96,423","4,796,765",Africa,136,"6,303",10,,,220
135,Syria,"30,153",,"2,104",,"22,925","5,124",,"1,674",117,"103,566","5,750","18,012,560",Asia,597,"8,561",174,,,284
136,Guinea,"30,136",,370,,"28,277","1,489",24,"2,222",27,"546,969","40,333","13,561,494",Africa,450,"36,653",25,,,110
137,Guyana,"28,831",,703,,"24,756","3,372",26,"36,442",889,"294,242","371,923","791,137",South America,27,"1,125",3,,,"4,262"
